category,cpp_symbol,legacy_symbol,evidence,confidence,notes
class,clash95::cpp::DLXSpriteSet,DLXSpriteSet_Load / DLXSpriteSet::save / DLXSpriteSet_DrawText,map+asm,high,Opaque raw-handle wrapper for the sprite-set family; original names remain searchable in comments and CSV.
method,clash95::cpp::DLXSpriteSet::save,DLXSpriteSet::save,map+asm,high,Conservative placeholder only; no file-format semantics moved into the C++ layer.
method,clash95::cpp::DLXSpriteSet::draw_text,DLXSpriteSet_DrawText,map+asm,high,Text-rendering seam only; behavior remains in the recovered C baseline.
class,clash95::cpp::CAviDecompressor,CAviDecompressor ctor/dtor/init/accessor family,map+asm,high,Layout view for the AVI decompressor object family with explicit raw-handle storage.
method,clash95::cpp::CAviDecompressor::frames,CAviDecompressor_Frames,map+asm,high,Accessor wrapper only.
method,clash95::cpp::CAviDecompressor::fps,CAviDecompressor_Fps,map+asm,high,Accessor wrapper only.
method,clash95::cpp::CAviDecompressor::is_playing,CAviDecompressor_IsPlaying,map+asm,high,Accessor wrapper only.
method,clash95::cpp::CAviDecompressor::initialized,CAviDecompressor_Initialized,map+asm,high,Accessor wrapper only.
method,clash95::cpp::CAviDecompressor::start,CAviDecompressor_Start,map+asm,high,Conservative no-op skeleton until the executable path lifts the runtime object.
method,clash95::cpp::CAviDecompressor::stop,CAviDecompressor_Stop,map+asm,high,Conservative no-op skeleton until the executable path lifts the runtime object.
method,clash95::cpp::CAviDecompressor::wait_for_next_frame,CAviDecompressor_WaitForNextFrame,map+asm,high,Conservative no-op skeleton until the executable path lifts the runtime object.
method,clash95::cpp::CAviDecompressor::update_rect,CAviDecompressor_UpdateRect,map+asm,high,Layout placeholder only.
method,clash95::cpp::CAviDecompressor::blit,CAviDecompressor_Blit,map+asm,high,Layout placeholder only.
method,clash95::cpp::CAviDecompressor::stretch_to,CAviDecompressor_StretchTo,map+asm,high,Layout placeholder only.
class,clash95::cpp::CSyncObject,CSyncObject_Unlock,map+asm,medium,Only the unlock seam is evidenced in the current C sidecar, so the wrapper stays a raw-handle view.
method,clash95::cpp::CSyncObject::unlock,CSyncObject_Unlock,map+asm,medium,No lock ownership or wake-up semantics are claimed by the skeleton.
