canonical_url,original_url,first_capture,latest_capture,capture_count,representative_mimetype,representative_digest,representative_cdx_length,archive_url
http://clash.y0.pl/,http://clash.y0.pl:80/,20170426085203,20170426085203,2,text/html,WYYMV7GFSII3M3BRYSVJWCWA4WAK2DQP,81846,https://web.archive.org/web/20170426085203id_/http://clash.y0.pl:80/
http://clash.y0.pl/adresy-budynkow/,http://clash.y0.pl/adresy-budynkow/,20191112222008,20191112222008,2,text/html,JPFRR5BFVIABHMBLE3DWMHUGAQNW4MK3,7796,https://web.archive.org/web/20191112222008id_/http://clash.y0.pl/adresy-budynkow/
http://clash.y0.pl/adresy-jednostek/,http://clash.y0.pl/adresy-jednostek/,20191112222208,20191112222208,2,text/html,P6CT5LZJRBSECXRUFF75HXIQK7PVQKSP,16511,https://web.archive.org/web/20191112222208id_/http://clash.y0.pl/adresy-jednostek/
http://clash.y0.pl/adresy-zachcianek-krolowej/,http://clash.y0.pl/adresy-zachcianek-krolowej/,20191112222151,20191112222151,2,text/html,ZYVVU6XBMFQFLZDQRDVUO44FGDB72PN5,9555,https://web.archive.org/web/20191112222151id_/http://clash.y0.pl/adresy-zachcianek-krolowej/
http://clash.y0.pl/aktualnosci/,http://clash.y0.pl:80/aktualnosci/,20180806163744,20180806163744,2,text/html,JSPH2QEXIGV7H23KTMW7DSDLUXK3A7OS,10483,https://web.archive.org/web/20180806163744id_/http://clash.y0.pl:80/aktualnosci/
http://clash.y0.pl/author/boghute_ara/,http://clash.y0.pl/author/boghute_ara/,20210618181238,20210618181238,2,text/html,RGLX7MO5DO7R2QFTWAD2H6M5RBJ36EMJ,6241,https://web.archive.org/web/20210618181238id_/http://clash.y0.pl/author/boghute_ara/
http://clash.y0.pl/budowanie/,http://clash.y0.pl:80/budowanie/,20180813064701,20180813064701,2,text/html,QVDS4QW45ZHZ6NVMAH4SKAJYTXIR3XV2,7172,https://web.archive.org/web/20180813064701id_/http://clash.y0.pl:80/budowanie/
http://clash.y0.pl/chlopi-i-podatki/,http://clash.y0.pl:80/chlopi-i-podatki/,20180813064706,20180813064706,2,text/html,I4KP2DSQF5XUTVACGPWN2EXKER346TKB,6967,https://web.archive.org/web/20180813064706id_/http://clash.y0.pl:80/chlopi-i-podatki/
http://clash.y0.pl/clash-deluxe/,http://clash.y0.pl:80/clash-deluxe/,20180808183527,20180808183527,2,text/html,I6OEDMJOBSQ3YPHFBVJR4G7TYS625OLO,11440,https://web.archive.org/web/20180808183527id_/http://clash.y0.pl:80/clash-deluxe/
http://clash.y0.pl/clash-pod-dosbox/,http://clash.y0.pl:80/clash-pod-dosbox/,20180806153543,20180806153543,2,text/html,6HEJAHKMI4HTD5522NTAQTG36S43H5OA,7442,https://web.archive.org/web/20180806153543id_/http://clash.y0.pl:80/clash-pod-dosbox/
http://clash.y0.pl/comments/feed/,http://clash.y0.pl:80/comments/feed/,20180813064842,20180813064842,2,application/rss+xml,3WGEE6BPJE6LYIWEHICDENTTKQN2DZ6G,1138,https://web.archive.org/web/20180813064842id_/http://clash.y0.pl:80/comments/feed/
http://clash.y0.pl/download/,http://clash.y0.pl:80/download/,20180806153217,20180806153217,2,text/html,4N2COPNYT5TQ7GWV5WUNWPHMGR64JSQX,6520,https://web.archive.org/web/20180806153217id_/http://clash.y0.pl:80/download/
http://clash.y0.pl/dowodca/,http://clash.y0.pl:80/dowodca/,20180813064853,20180813064853,2,text/html,NSEAPXRFMD7EO2X5AKGLGSD5RECM4HXB,6321,https://web.archive.org/web/20180813064853id_/http://clash.y0.pl:80/dowodca/
http://clash.y0.pl/feed/,http://clash.y0.pl:80/feed/,20180813064716,20180813064716,2,application/rss+xml,RF4WNHMQQBQSUSY4TRO3XILCLME5S2DF,1152,https://web.archive.org/web/20180813064716id_/http://clash.y0.pl:80/feed/
http://clash.y0.pl/index.php/jednostki.html,http://clash.y0.pl:80/index.php/jednostki.html,20170425140755,20170425140755,2,text/html,BKPSY6Q6YWEFHNZFQFCJ5AL4VTXXIMI4,1975814,https://web.archive.org/web/20170425140755id_/http://clash.y0.pl:80/index.php/jednostki.html
http://clash.y0.pl/index.php/mury.html,http://clash.y0.pl:80/index.php/mury.html,20170427040331,20170427040331,2,text/html,AYCIJIX6Z2GE6FQ7YOM62MO2ENFNSA3R,177223,https://web.archive.org/web/20170427040331id_/http://clash.y0.pl:80/index.php/mury.html
http://clash.y0.pl/index.php/port.html,http://clash.y0.pl:80/index.php/port.html,20170427030025,20170427030025,2,text/html,O52GHPI5I5Q656VEVWSZPYMMZX36FCVP,222018,https://web.archive.org/web/20170427030025id_/http://clash.y0.pl:80/index.php/port.html
http://clash.y0.pl/index.php/zasadzka.html,http://clash.y0.pl:80/index.php/zasadzka.html,20170424231706,20170424231706,2,text/html,VGYIG3WF4D3OBC4L7FQ25FAHHANF3F5U,9491,https://web.archive.org/web/20170424231706id_/http://clash.y0.pl:80/index.php/zasadzka.html
http://clash.y0.pl/jednostki/,http://clash.y0.pl:80/jednostki/,20180813064721,20180813064721,2,text/html,IIMGVDUVFEA2O5LJAACGCYK2VJ2NDJOZ,16605,https://web.archive.org/web/20180813064721id_/http://clash.y0.pl:80/jednostki/
http://clash.y0.pl/kampania/,http://clash.y0.pl:80/kampania/,20180813065258,20180813065258,2,text/html,YJ74IA65HE5UVNN4JFHNJ7J7IHEAEU3O,9124,https://web.archive.org/web/20180813065258id_/http://clash.y0.pl:80/kampania/
http://clash.y0.pl/kody/,http://clash.y0.pl:80/kody/,20180813064726,20180813064726,2,text/html,3YMEXTXTBY3FQMKXHXQEKYIEJLFH2UVQ,6069,https://web.archive.org/web/20180813064726id_/http://clash.y0.pl:80/kody/
http://clash.y0.pl/kontakt/,http://clash.y0.pl:80/kontakt/,20180813064731,20180813064731,2,text/html,ADFYE2MFLBX3QTQIXJDSOJVHDKTHJ36Y,6350,https://web.archive.org/web/20180813064731id_/http://clash.y0.pl:80/kontakt/
http://clash.y0.pl/kopanie-skarbow/,http://clash.y0.pl:80/kopanie-skarbow/,20180813065304,20180813065304,2,text/html,2PSEINXZ7NYY5ULZE7HLSUQT5V3436A5,6932,https://web.archive.org/web/20180813065304id_/http://clash.y0.pl:80/kopanie-skarbow/
http://clash.y0.pl/krolowa/,http://clash.y0.pl:80/krolowa/,20180813065309,20180813065309,2,text/html,UV7B2PXYT5VVRPVEJJMQPETU6534SNLB,10375,https://web.archive.org/web/20180813065309id_/http://clash.y0.pl:80/krolowa/
http://clash.y0.pl/misje/,http://clash.y0.pl:80/misje/,20180813064736,20180813064736,2,text/html,DYTZRHL44I3EQFJ35EHNHH5RN27TSWZS,7591,https://web.archive.org/web/20180813064736id_/http://clash.y0.pl:80/misje/
http://clash.y0.pl/morale/,http://clash.y0.pl:80/morale/,20180813064742,20180813064742,2,text/html,Z35SYTEWGBNEPUWFWU4BJX555DVCIJ4K,6613,https://web.archive.org/web/20180813064742id_/http://clash.y0.pl:80/morale/
http://clash.y0.pl/mury/,http://clash.y0.pl:80/mury/,20180813064746,20180813064746,2,text/html,W2SQ366U565I5DJZ76VLNQFN6VXYVTZC,6348,https://web.archive.org/web/20180813064746id_/http://clash.y0.pl:80/mury/
http://clash.y0.pl/poczatek-rozgrywki/,http://clash.y0.pl:80/poczatek-rozgrywki/,20180813064751,20180813064751,2,text/html,RCQHZUS2M65CX65EJLW3KBUG35FZV26S,8426,https://web.archive.org/web/20180813064751id_/http://clash.y0.pl:80/poczatek-rozgrywki/
http://clash.y0.pl/port/,http://clash.y0.pl:80/port/,20180813065314,20180813065314,2,text/html,BUCVOLSSKZIJJRSNPCQOKDOPOGZESHHS,6633,https://web.archive.org/web/20180813065314id_/http://clash.y0.pl:80/port/
http://clash.y0.pl/poziomy-technologiczne/,http://clash.y0.pl:80/poziomy-technologiczne/,20180813065319,20180813065319,2,text/html,KQ2AC76LSOOKQMGE2AQR6BJXLUS2N7DJ,6537,https://web.archive.org/web/20180813065319id_/http://clash.y0.pl:80/poziomy-technologiczne/
http://clash.y0.pl/pulapka/,http://clash.y0.pl:80/pulapka/,20180813064756,20180813064756,2,text/html,5IJYDPT2MD2R7BD3YWUL46UMCTSXXRDF,6192,https://web.archive.org/web/20180813064756id_/http://clash.y0.pl:80/pulapka/
http://clash.y0.pl/robots.txt,http://clash.y0.pl/robots.txt,20170721132440,20170721132440,2,text/plain,CLN5MIWT3AVVTZN7BXQ2YGJZSGPTWXLU,487,https://web.archive.org/web/20170721132440id_/http://clash.y0.pl/robots.txt
http://clash.y0.pl/rozgrywka/,http://clash.y0.pl/rozgrywka/,20191112222225,20191112222225,2,text/html,B2VCMMP4CWJT4PNJVN3UINSIS3IPAPJU,10962,https://web.archive.org/web/20191112222225id_/http://clash.y0.pl/rozgrywka/
http://clash.y0.pl/status/,http://clash.y0.pl:80/status/,20180813064801,20180813064801,2,text/html,J6VPQPUGCA3TXYUZFC7ON6CTOOJ36QHO,6580,https://web.archive.org/web/20180813064801id_/http://clash.y0.pl:80/status/
http://clash.y0.pl/swiatynie-i-miejsca-kultu/,http://clash.y0.pl:80/swiatynie-i-miejsca-kultu/,20180813065324,20180813065324,2,text/html,ODSVOTMJHBT4AIL3AGAYV3MKRSFRZVOS,8916,https://web.archive.org/web/20180813065324id_/http://clash.y0.pl:80/swiatynie-i-miejsca-kultu/
http://clash.y0.pl/tereny/,http://clash.y0.pl:80/tereny/,20180813065329,20180813065329,2,text/html,7XIQ2J3DOG5GXGJ5SBUXFDPSVYGWZFFX,6819,https://web.archive.org/web/20180813065329id_/http://clash.y0.pl:80/tereny/
http://clash.y0.pl/walka/,http://clash.y0.pl:80/walka/,20180813065334,20180813065334,2,text/html,ECD72A7CDORQFCO2DFC5FHQNDCGZVDXO,8166,https://web.archive.org/web/20180813065334id_/http://clash.y0.pl:80/walka/
http://clash.y0.pl/wp-content/themes/creattica/css/lightSlider.min.css?ver=1.1.0,http://clash.y0.pl/wp-content/themes/creattica/css/lightSlider.min.css?ver=1.1.0,20250831160547,20250831160547,2,text/css,TII6BR4P2ARRCWAAER2U3UJARWLGNFR2,2108,https://web.archive.org/web/20250831160547id_/http://clash.y0.pl/wp-content/themes/creattica/css/lightSlider.min.css?ver=1.1.0
