source_url,link_url,host,path,query,candidate,error
http://clash.y0.pl/download/,http://clash.y0.pl/download/,clash.y0.pl,/download/,,True,
http://clash.y0.pl/download/,http://fonts.googleapis.com,fonts.googleapis.com,,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/feed/,clash.y0.pl,/feed/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/comments/feed/,clash.y0.pl,/comments/feed/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/xmlrpc.php,clash.y0.pl,/xmlrpc.php,,False,
http://clash.y0.pl/download/,http://gmpg.org/xfn/11,gmpg.org,/xfn/11,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fclash.y0.pl%2Fdownload%2F,clash.y0.pl,/wp-json/oembed/1.0/embed,url=http%3A%2F%2Fclash.y0.pl%2Fdownload%2F,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fclash.y0.pl%2Fdownload%2F&format=xml,clash.y0.pl,/wp-json/oembed/1.0/embed,url=http%3A%2F%2Fclash.y0.pl%2Fdownload%2F&format=xml,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/hybrid/extend/css/webfonts/fa-solid-900.woff2,clash.y0.pl,/wp-content/themes/creattica/hybrid/extend/css/webfonts/fa-solid-900.woff2,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/hybrid/extend/css/webfonts/fa-regular-400.woff2,clash.y0.pl,/wp-content/themes/creattica/hybrid/extend/css/webfonts/fa-regular-400.woff2,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/hybrid/extend/css/webfonts/fa-brands-400.woff2,clash.y0.pl,/wp-content/themes/creattica/hybrid/extend/css/webfonts/fa-brands-400.woff2,,False,
http://clash.y0.pl/download/,"https://fonts.googleapis.com/css2?family=Open%20Sans:ital,wght@0,300;0,400;0,700;0,800;1,400;1,700&display=swap",fonts.googleapis.com,/css2,"family=Open%20Sans:ital,wght@0,300;0,400;0,700;0,800;1,400;1,700&display=swap",False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/hybrid/css/gallery.min.css?ver=4.0.0,clash.y0.pl,/wp-content/themes/creattica/hybrid/css/gallery.min.css,ver=4.0.0,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/hybrid/extend/css/font-awesome.min.css?ver=5.15.4,clash.y0.pl,/wp-content/themes/creattica/hybrid/extend/css/font-awesome.min.css,ver=5.15.4,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/style.min.css?ver=1.12.2,clash.y0.pl,/wp-content/themes/creattica/style.min.css,ver=1.12.2,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/include/blocks/wpblocks.css?ver=1.12.2,clash.y0.pl,/wp-content/themes/creattica/include/blocks/wpblocks.css,ver=1.12.2,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,clash.y0.pl,/wp-includes/js/jquery/jquery.min.js,ver=3.7.1,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1,clash.y0.pl,/wp-includes/js/jquery/jquery-migrate.min.js,ver=3.4.1,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/js/modernizr.custom.min.js?ver=2.8.3,clash.y0.pl,/wp-content/themes/creattica/js/modernizr.custom.min.js,ver=2.8.3,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-json/,clash.y0.pl,/wp-json/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-json/wp/v2/pages/509,clash.y0.pl,/wp-json/wp/v2/pages/509,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/xmlrpc.php?rsd,clash.y0.pl,/xmlrpc.php,rsd,False,
http://clash.y0.pl/download/,http://clash.y0.pl/?p=509,clash.y0.pl,/,p=509,False,
http://clash.y0.pl/download/,https://fonts.googleapis.com,fonts.googleapis.com,,,False,
http://clash.y0.pl/download/,https://fonts.gstatic.com,fonts.gstatic.com,,,False,
http://clash.y0.pl/download/,https://fonts.googleapis.com/css2?display=swap&family=Open+Sans&family=Montserrat&family=MedievalSharp,fonts.googleapis.com,/css2,display=swap&family=Open+Sans&family=Montserrat&family=MedievalSharp,False,
http://clash.y0.pl/download/,http://clash.y0.pl/download/#main,clash.y0.pl,/download/,,True,
http://clash.y0.pl/download/,http://clash.y0.pl/,clash.y0.pl,/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/uploads/2017/12/clash-1.jpg,clash.y0.pl,/wp-content/uploads/2017/12/clash-1.jpg,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/aktualnosci/,clash.y0.pl,/aktualnosci/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/clash-pod-dosbox/,clash.y0.pl,/clash-pod-dosbox/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/kampania/,clash.y0.pl,/kampania/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/misje/,clash.y0.pl,/misje/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/rozgrywka/,clash.y0.pl,/rozgrywka/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/tereny/,clash.y0.pl,/tereny/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/kopanie-skarbow/,clash.y0.pl,/kopanie-skarbow/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/swiatynie-i-miejsca-kultu/,clash.y0.pl,/swiatynie-i-miejsca-kultu/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/port/,clash.y0.pl,/port/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/krolowa/,clash.y0.pl,/krolowa/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/dowodca/,clash.y0.pl,/dowodca/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/jednostki/,clash.y0.pl,/jednostki/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/morale/,clash.y0.pl,/morale/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/status/,clash.y0.pl,/status/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/zmeczenie/,clash.y0.pl,/zmeczenie/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/zasadzka/,clash.y0.pl,/zasadzka/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/walka/,clash.y0.pl,/walka/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/pulapka/,clash.y0.pl,/pulapka/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/budowanie/,clash.y0.pl,/budowanie/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/zamki-i-twierdze/,clash.y0.pl,/zamki-i-twierdze/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/chlopi-i-podatki/,clash.y0.pl,/chlopi-i-podatki/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/poziomy-technologiczne/,clash.y0.pl,/poziomy-technologiczne/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/mury/,clash.y0.pl,/mury/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/kody/,clash.y0.pl,/kody/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/clash-deluxe/,clash.y0.pl,/clash-deluxe/,,True,
http://clash.y0.pl/download/,http://clash.y0.pl/download/##,clash.y0.pl,/download/,,True,
http://clash.y0.pl/download/,http://clash.y0.pl/wprowadzenie/,clash.y0.pl,/wprowadzenie/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/adresy-jednostek/,clash.y0.pl,/adresy-jednostek/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/adresy-budynkow/,clash.y0.pl,/adresy-budynkow/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/adresy-zachcianek-krolowej/,clash.y0.pl,/adresy-zachcianek-krolowej/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/adresy-skarbow/,clash.y0.pl,/adresy-skarbow/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/kontakt/,clash.y0.pl,/kontakt/,,False,
http://clash.y0.pl/download/,http://forum.clash.y0.pl/,forum.clash.y0.pl,/,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/author/boghute_ara/,clash.y0.pl,/author/boghute_ara/,,False,
http://clash.y0.pl/download/,https://drive.google.com/file/d/1_jTdfx5_y2o83-uihlYL_qFoVMwetBwr/view?usp=drive_link,drive.google.com,/file/d/1_jTdfx5_y2o83-uihlYL_qFoVMwetBwr/view,usp=drive_link,False,
http://clash.y0.pl/download/,https://drive.google.com/file/d/15Rr_WGJGbO_qMu4cAOzAW_JbgG_gLp0g/view?usp=sharing,drive.google.com,/file/d/15Rr_WGJGbO_qMu4cAOzAW_JbgG_gLp0g/view,usp=sharing,False,
http://clash.y0.pl/download/,https://drive.google.com/file/d/1mpLVbkeGnzhMBOuBm3TwfBtVcmLaKGap/view?usp=sharing,drive.google.com,/file/d/1mpLVbkeGnzhMBOuBm3TwfBtVcmLaKGap/view,usp=sharing,False,
http://clash.y0.pl/download/,https://drive.google.com/file/d/1aIrAb1wdkAwtikPKQJ9KUIs_VaTW5oXk/view?usp=sharing,drive.google.com,/file/d/1aIrAb1wdkAwtikPKQJ9KUIs_VaTW5oXk/view,usp=sharing,False,
http://clash.y0.pl/download/,https://drive.google.com/file/d/1fSuPghdYiL4Wa6f3xt1wT0Fa0-E5To8C/view?usp=sharing,drive.google.com,/file/d/1fSuPghdYiL4Wa6f3xt1wT0Fa0-E5To8C/view,usp=sharing,False,
http://clash.y0.pl/download/,https://drive.google.com/file/d/1I38SJpld-9jM1reoNjimzpkeIhyzDTJq/view?usp=sharing,drive.google.com,/file/d/1I38SJpld-9jM1reoNjimzpkeIhyzDTJq/view,usp=sharing,False,
http://clash.y0.pl/download/,https://wphoot.com/themes/creattica/,wphoot.com,/themes/creattica/,,False,
http://clash.y0.pl/download/,https://wordpress.org,wordpress.org,,,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-includes/js/hoverIntent.min.js?ver=1.10.2,clash.y0.pl,/wp-includes/js/hoverIntent.min.js,ver=1.10.2,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/js/jquery.superfish.min.js?ver=1.7.5,clash.y0.pl,/wp-content/themes/creattica/js/jquery.superfish.min.js,ver=1.7.5,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/js/jquery.fitvids.js?ver=1.1,clash.y0.pl,/wp-content/themes/creattica/js/jquery.fitvids.js,ver=1.1,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/js/jquery.parallax.min.js?ver=1.4.2,clash.y0.pl,/wp-content/themes/creattica/js/jquery.parallax.min.js,ver=1.4.2,False,
http://clash.y0.pl/download/,http://clash.y0.pl/wp-content/themes/creattica/js/hoot.theme.min.js?ver=1.12.2,clash.y0.pl,/wp-content/themes/creattica/js/hoot.theme.min.js,ver=1.12.2,False,
http://clash.y0.pl/clash-deluxe/,http://clash.y0.pl/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fclash.y0.pl%2Fclash-deluxe%2F,clash.y0.pl,/wp-json/oembed/1.0/embed,url=http%3A%2F%2Fclash.y0.pl%2Fclash-deluxe%2F,True,
http://clash.y0.pl/clash-deluxe/,http://clash.y0.pl/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fclash.y0.pl%2Fclash-deluxe%2F&format=xml,clash.y0.pl,/wp-json/oembed/1.0/embed,url=http%3A%2F%2Fclash.y0.pl%2Fclash-deluxe%2F&format=xml,True,
http://clash.y0.pl/clash-deluxe/,http://clash.y0.pl/wp-json/wp/v2/pages/95,clash.y0.pl,/wp-json/wp/v2/pages/95,,False,
http://clash.y0.pl/clash-deluxe/,http://clash.y0.pl/?p=95,clash.y0.pl,/,p=95,False,
